"","Morphotype","IsolateID","CulturePlate","Type","MesquiteNum","PlantOrigin","Plot","PlateNum"
"1","F01","3-DICA-CAN-1-A","3-DICA-CAN-1","Fungi",3,"DICA","CAN",1
"2","F01","3-DICA-CAN-3-B","3-DICA-CAN-3","Fungi",3,"DICA","CAN",3
"3","F01","3-DICA-CAN-2-A","3-DICA-CAN-2","Fungi",3,"DICA","CAN",2
"4","F01","3-DICA-CAN-3-C","3-DICA-CAN-3","Fungi",3,"DICA","CAN",3
"5","F02","1-ERLE-OPN-1-A","1-ERLE-OPN-1","Fungi",1,"ERLE","OPN",1
"6","F02","3-ERLE-OPN-2-A","3-ERLE-OPN-2","Fungi",3,"ERLE","OPN",2
"7","F02","3-ERLE-OPN-1-C","3-ERLE-OPN-1","Fungi",3,"ERLE","OPN",1
"8","F02","3-ERLE-OPN-1-A1","3-ERLE-OPN-1","Fungi",3,"ERLE","OPN",1
"9","F03","2-DICA-CAN-1-B","2-DICA-CAN-1","Fungi",2,"DICA","CAN",1
"10","F03","1-DICA-OPN-3-A","1-DICA-OPN-3","Fungi",1,"DICA","OPN",3
"11","F03","2-DICA-CAN-1-G","2-DICA-CAN-1","Fungi",2,"DICA","CAN",1
"12","F03","2-DICA-CAN-3-G","2-DICA-CAN-3","Fungi",2,"DICA","CAN",3
"13","F03","3-DICA-OPN-3-A","3-DICA-OPN-3","Fungi",3,"DICA","OPN",3
"14","F03","2-ERLE-CAN-1-A","2-ERLE-CAN-1","Fungi",2,"ERLE","CAN",1
"15","F04","1-ERLE-OPN-1-F","1-ERLE-OPN-1","Fungi",1,"ERLE","OPN",1
"16","F04","1-ERLE-OPN-1-E","1-ERLE-OPN-1","Fungi",1,"ERLE","OPN",1
"17","F04","1-ERLE-OPN-1-G","1-ERLE-OPN-1","Fungi",1,"ERLE","OPN",1
"18","F05","2-ERLE-CAN-3-B","2-ERLE-CAN-3","Fungi",2,"ERLE","CAN",3
"19","F05","1-ERLE-CAN-3-C","1-ERLE-CAN-3","Fungi",1,"ERLE","CAN",3
"20","F05","1-ERLE-CAN-3-G","1-ERLE-CAN-3","Fungi",1,"ERLE","CAN",3
"21","F05","1-ERLE-CAN-3-C","1-ERLE-CAN-3","Fungi",1,"ERLE","CAN",3
"22","F05","1-ERLE-CAN-3-H","1-ERLE-CAN-3","Fungi",1,"ERLE","CAN",3
"23","F06","3-ERLE-OPN-1-A2","3-ERLE-OPN-1","Fungi",3,"ERLE","OPN",1
